scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,max_original_knot_q_difference_rad
1817,0.64,0.26,selected,True,True,False,125.72526461743246,1.0477105384786038,9737.368901739188,3.4512191673469332e-15,2.1010906384611215e-14,True,5,1.004097931828042,3.141592653589829
1818,0.66,0.26,baseline,False,False,False,,,,,,,,,
1818,0.66,0.26,selected,True,True,False,46.73029473722502,0.3894191228102085,1858.52101890493,8.12835667894629e-15,5.130808934455492e-14,True,3,0.9100186794895535,1.6697754290362354e-13
1819,0.68,0.26,baseline,False,False,False,,,,,,,,,
1819,0.68,0.26,selected,True,True,False,32.344830690557494,0.2695402557546458,1187.0046377219696,2.505546097505419e-15,1.6199390465439782e-14,True,3,0.8346500822311977,1.4432899320127035e-13
1820,0.7000000000000001,0.26,baseline,False,False,False,,,,,,,,,
1820,0.7000000000000001,0.26,selected,True,True,False,165.81870757479737,1.3818225631233114,26173.376370435803,4.556312550356801e-15,2.6131816460553338e-14,True,3,0.789300636104568,4.384270724244743e-13
1821,0.72,0.26,baseline,True,True,False,85.31411970967243,0.7109509975806035,4688.431264192268,2.7031779079445754e-15,1.7875157129264975e-14,True,5,0.6636181370881546,3.1415926535898806
1821,0.72,0.26,selected,True,True,False,85.31411970967262,0.7109509975806052,4688.431264192093,7.017771025467605e-15,5.3654855776401144e-14,True,5,1.3735228644759467,3.141592653589878
1822,0.74,0.26,baseline,True,True,False,29.98695193023584,0.24989126608529866,1110.2801401550134,1.2425573238033121e-14,6.939247561177531e-14,True,5,0.5686012343645954,1.7186252421197423e-13
1822,0.74,0.26,selected,True,True,False,23.292231469648534,0.1941019289137378,784.9534790888683,1.0730787978101017e-14,7.89741995345305e-14,True,5,0.06973459603424459,3.7925218521195347e-13
1823,0.76,0.26,baseline,True,True,False,21.125183394094496,0.17604319495078746,767.072963135535,7.962126022200714e-15,3.749945571691918e-14,True,3,0.4643979395742983,1.550426453889031e-13
1823,0.76,0.26,selected,True,True,False,21.125183394094496,0.17604319495078746,767.072963135535,7.962126022200714e-15,3.749945571691918e-14,True,3,0.4643979395742983,1.550426453889031e-13
1824,0.78,0.26,baseline,True,True,False,25.25857156672462,0.21048809638937183,547.5980968869663,1.898692367684087e-14,5.5043019453285747e-14,True,5,0.31836272390780795,2.696731726814505e-13
1824,0.78,0.26,selected,True,True,True,4.144248721649596,0.03453540601374663,411.5937998666751,2.6381889979346165e-14,8.073672467855291e-14,True,2,1.735516532716874,2.3303581286882036e-13
1851,0.6,0.28,baseline,True,True,False,13.622774720768795,0.1135231226730733,531.7276778679301,6.401196382302692e-15,4.061100818649997e-14,True,5,0.8765415840124635,3.6060043839825084e-13
1851,0.6,0.28,selected,True,True,False,13.622774720767037,0.11352312267305864,531.7276778677701,4.036408918523774e-15,2.209535262289227e-14,True,5,0.08857358097989732,9.747758156208874e-14
1852,0.62,0.28,baseline,True,True,False,22.03026942321463,0.18358557852678858,968.0976961666232,1.0528001189373077e-14,5.922715837054025e-14,True,5,0.9545293206094292,1.0658141036401503e-13
1852,0.62,0.28,selected,True,True,False,22.03026942321463,0.18358557852678858,968.0976961666232,1.0528001189373077e-14,5.922715837054025e-14,True,5,0.9545293206094292,6.750155989720952e-13
1853,0.64,0.28,baseline,True,True,False,51.25495570795682,0.42712463089964015,2938.772293722188,1.4246399199214207e-14,7.709896402033005e-14,True,5,0.9950358148082739,1.5987211554602254e-13
1853,0.64,0.28,selected,True,True,False,51.254955707958096,0.4271246308996508,2938.772293722431,2.581119304415107e-15,2.0894494356695157e-14,True,5,0.025486464429341993,1.8474111129762605e-13
1854,0.66,0.28,baseline,False,False,False,,,,,,,,,
1854,0.66,0.28,selected,True,True,False,146.7579858383802,1.222983215319835,24701.462108843774,3.07786682792676e-15,2.3457846889965454e-14,True,5,1.1205854879581696,5.062616992290714e-14
1855,0.68,0.28,baseline,False,False,False,,,,,,,,,
1855,0.68,0.28,selected,False,False,False,,,,,,,,,
1856,0.7000000000000001,0.28,baseline,False,False,False,,,,,,,,,
1856,0.7000000000000001,0.28,selected,True,True,False,44.99314186197874,0.3749428488498229,2001.4767374688474,4.6141087955567604e-15,3.2973738117873786e-14,True,3,0.7703667084695383,2.5224267119483557e-13
1857,0.72,0.28,baseline,False,False,False,,,,,,,,,
1857,0.72,0.28,selected,True,True,False,158.77548513534902,1.3231290427945752,30377.477515780025,8.720199377321032e-15,5.1746847483380755e-14,True,5,1.407074074344039,2.772360119251971e-11
1858,0.74,0.28,baseline,True,True,False,37.918352387012604,0.3159862698917717,2290.3213615393406,2.4660012810218863e-14,1.3174798211972951e-13,True,5,0.5813721177936095,1.8185453143360064e-13
1858,0.74,0.28,selected,True,True,False,25.626932025186058,0.21355776687655048,1387.6494695390093,3.1856678799765905e-14,2.3552562783793936e-13,True,3,0.0516788526650096,5.914158052178209e-13
1859,0.76,0.28,baseline,True,True,False,25.84549188930157,0.21537909907751307,643.8474012443891,1.8890274298481985e-14,5.502245581290135e-14,True,3,0.46553755419948484,1.5060175329040248e-13
1859,0.76,0.28,selected,True,True,True,2.6696550422513265,0.022247125352094388,151.49382198687542,2.2337462395537848e-14,4.9396256583164795e-14,True,2,1.6396271575431904,2.544631172440859e-13
1887,0.6,0.3,baseline,True,True,False,13.333191238242499,0.11110992698535416,482.8845555308561,5.0758566197278156e-15,3.244374069700081e-14,True,5,0.9114136504612806,5.773159728050814e-14
